Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Cloners),Outward issue link (Container),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Incorporates),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Required),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Shepherd),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Tags),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Target Version/s),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Occational MIsses on Indexing into Elasticsearch,USERGRID-1027,12888688,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,Fixed,,greyes,greyes,18/Sep/15 21:51,27/Oct/15 20:57,29/Oct/20 16:22,27/Oct/15 20:57,2.1.0,,,,,,,,,,,,,,Stack,,,,,0,landmine,,,,,,,,Occasionally applications still aren't being indexed into elasticsearch. Need to investigate why these might be occuring. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-810,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-09-18 21:51:30.0,,,,,,,"0|i001pr:",9223372036854775807,,,,,,,,,,,Usergrid 30,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re-index using AmazonAsyncEventService should support updated date,USERGRID-900,12851255,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,Fixed,tnine,mrusso,mrusso,04/Aug/15 00:04,02/Feb/16 21:49,29/Oct/20 16:07,11/Aug/15 16:14,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,"see implemented example for InMemoryAsyncEventService

org/apache/usergrid/corepersistence/asyncevents/EventBuilderImpl.java:166

This filters out based on modified/updated date for the events to be indexed.  Need to ensure AmazonAsyncEventService consumers implement something similar OR look to have the producer filter out the events and not even drop on the AWS queues.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-08-11 16:14:07.23,,,false,USERGRID-603,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Aug 11 16:14:07 UTC 2015,,,,,,,"0|i2i1pz:",9223372036854775807,,,,,,,,,,,Usergrid 27,,,,,,,,,,,3.0,,,,,,,,,,,"11/Aug/15 16:14;tnine;Fixed in these PRS

https://github.com/apache/incubator-usergrid/pull/337

https://github.com/apache/incubator-usergrid/pull/338

https://github.com/apache/incubator-usergrid/pull/339/files

",,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix and prune Usergrid tools in 2.1,USERGRID-872,12846883,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Minor,Fixed,djohnson,djohnson,djohnson,22/Jul/15 12:38,02/Feb/16 21:49,29/Oct/20 16:31,05/Jan/16 19:11,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,"The Usergrid tools are broken in a variety of ways in the two-dot-o and two-dot-o-dev brands. The tools do not compile. Many rely on outdated 1.0 concepts. Many are obsolete.

1. Delete any obsolete tools
2. Make all tools compile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2016-01-05 19:11:50.904,,,false,USERGRID-837,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Jan 05 19:11:50 UTC 2016,,,,,,,"0|hzzzwm:vr",9223372036854775807,,,,,,,,,,,Usergrid 32,,,,,,,,,,,3.0,,,,,,,,,,,"30/Oct/15 21:11;djohnson;PR is ready for merge: https://github.com/apache/usergrid/pull/420","05/Jan/16 19:11;jeffreyawest;Tests don't seem to pass for this but we can address another time.",,,,,,,,,,,,,,,,,,,,,,,,,,
Notifications POST throwing NPE,USERGRID-858,12845321,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Minor,Fixed,mrusso,brandonshelley,brandonshelley,15/Jul/15 17:34,11/May/16 06:59,29/Oct/20 16:31,12/Jan/16 22:23,1.0.0,2.1.0,,,,,,,2.1.0,,,,,,Stack,,,,,0,,,,,,,,,"{code}curl -X POST -d '{ ""payloads"": { ""apple-dev"": ""Hello World!"" } }' 'https://api.usergrid.com/brandon.apigee/baas-integration-tests/devices/*/notifications?client_id=redacted&client_secret=redacted'{code}

throws:

{code}{
  ""error"": ""runtime"",
  ""timestamp"": 1436981233645,
  ""duration"": 0,
  ""exception"": ""java.lang.RuntimeException"",
  ""error_description"": ""java.lang.NullPointerException""
}{code}

1) According to docs, it should work: http://apigee.com/docs/app-services/content/creating-and-managing-notifications

2) If it doesn't and isn't supposed to, it shouldn't throw an NPE.

Note that a notifier with a sandbox cert has been created with the name 'apple-dev'.

---
UPDATE

It does work with {code}/devices;ql=select */notifications{code}

we should address this but also update the documentation to reflect the way in which it works.

---
UPDATE

It also appears that although the NPE is returned via the API, a notification *is* created in /notifications. In this particular test, there were no devices in the /devices collection:

{code}{
  ""uuid"": ""11c5e62a-2a84-11e5-af28-65b8f0f35f5f"",
  ""type"": ""notifications"",
  ""created"": 1436918242690,
  ""modified"": 1436918242690,
  ""payloads"": {
    ""apple-dev"": ""Hello World!""
  },
  ""debug"": false,
  ""state"": ""CREATED"",
  ""metadata"": {
    ""path"": ""/notifications/11c5e62a-2a84-11e5-af28-65b8f0f35f5f"",
    ""collections"": {
      ""receipts"": ""/notifications/11c5e62a-2a84-11e5-af28-65b8f0f35f5f/receipts""
    }
  }
}{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USERGRID-971,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-07-15 17:40:17.535,,,false,USERGRID-814,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Jan 12 01:44:15 UTC 2016,,,,,,,"0|i001pr:000000010coz",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,"15/Jul/15 17:40;jeffreyawest;Does it work on  
{code}/devices;ql=select */notifications{code}?","15/Jul/15 17:41;brandonshelley;Yes","12/Jan/16 01:44;mrusso;This is being fixed in 2.1 +. ",,,,,,,,,,,,,,,,,,,,,,,,,
SNS<->SQS Subscriptions Not Created cross-region,USERGRID-798,12844446,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,Fixed,mrusso,jeffreyawest,jeffreyawest,12/Jul/15 16:17,15/Jul/15 20:40,29/Oct/20 16:31,12/Jul/15 23:40,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-07-12 23:40:57.562,,,false,USERGRID-731,,,,,,,,,,,,,,,,,9223372036854775807,,,Sun Jul 12 23:40:57 UTC 2015,,,,,,,"0|i001n3:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,"12/Jul/15 23:40;mrusso;https://github.com/apache/incubator-usergrid/pull/304

Fixed by removing Topics.subscribe as it has issues subscribing cross-regions.  Usergrid now adds subscribes from the SNS client and then adds specific policies to allow the SNS ARNs in all regions.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Org (and presumably App) credentials can't create connections by default,USERGRID-797,12844272,Bug,Open,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Minor,,,brandonshelley,brandonshelley,10/Jul/15 20:10,11/May/16 06:59,29/Oct/20 16:31,,1.0.0,2.1.0,,,,,,,,,,,,,Stack,,,,,0,,,,,,,,,"If you try to create a new connection using org or app credentials, it will fail with:

{code}
{
    ""duration"": 1,
    ""error"": ""unauthorized"",
    ""error_description"": ""Subject does not have permission [applications:post:uuid:/col1/uuid/relationship/uid]"",
    ""exception"": ""org.apache.shiro.authz.UnauthorizedException"",
    ""timestamp"": ""....""
}
{code}

The only workaround seems to be to give {code}POST /**{code} to the Guest role.

Expected behavior: app and org credentials should (out of the box) both be able to create and delete connections, as well as retrieve all depths of them:

{code}GET /collection/uuid/verb
GET /collection/uuid/connecting/verb
GET /collection/uuid/connections/verb{code}
etc.

In short, all tests in the URAP integration_tests should pass on a net new instance without having to set Guest role permissions to {code}/**{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-07-13 23:29:03.265,,,false,USERGRID-827,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon Jul 13 23:29:03 UTC 2015,,,,,,,"0|i001pr:000000010cozzzzzx",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,"13/Jul/15 23:29;greyes;Just commenting to say that app credentials also don't work. ( Confirmed )",,,,,,,,,,,,,,,,,,,,,,,,,,,
"'order by created desc' causing no results in location query (affects 1.0, not sure about 2.0)",USERGRID-787,12843076,Bug,Open,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,,,brandonshelley,brandonshelley,07/Jul/15 02:40,11/May/16 06:59,29/Oct/20 16:32,,1.0.0,,,,,,,,,,,,,,Stack,,,,,0,,,,,,,,,"Making the following API call returns no results:

{code}https://api.usergrid.com/org/app/collection?ql=location%20within%201000%20of%2051.73213%2C%20-1.20631%20order%20by%20created%20desc{code}

but this one works:

{code}https://api.usergrid.com/org/app/collection?ql=location%20within%201000%20of%2051.73213%2C%20-1.20631{code}

Definitely affects 1.0, not tested against 2.x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-817,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-07-07 02:40:14.0,,,,,,,"0|i001pr:000000010cohzzzzzz",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limit on Queries results in a highly variable number of results,USERGRID-778,12842102,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,Fixed,djohnson,jeffreyawest,jeffreyawest,01/Jul/15 20:42,02/Feb/16 21:49,29/Oct/20 16:32,11/Jan/16 20:56,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,"This behavior is observed on a build from the two-dot-o branch with commit ID 2d1c8b8ac7b20b63a11d83adca56839d8b409cca.

For example, limit=2 gives you 1 sometimes, limit=750 gives anywhere from 625 to 749.  For example this script:

{code}
#!/bin/bash
for count in `seq 1 10`
do 
    curl -s ""https://example.com/appservices/testorg/sandbox/scmocks?limit=750"" > file${count}
    grep uuid file${count} | wc
    rm file${count}
done
{code}

Produces these results:

     685    2055   36305
     750    2250   39750
     749    2247   39697
     742    2226   39326
     750    2250   39750
     749    2247   39697
     747    2241   39591
     744    2232   39432
     750    2250   39750
     749    2247   39697

A different count every time.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-07-02 14:47:02.946,,,false,USERGRID-817,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon Jan 11 20:56:23 UTC 2016,,,,,,,"0|i001pr:000000010cohzzzzzr",9223372036854775807,,,,,,,,,,,Usergrid 24,Usergrid 25,Usergrid 26,,,,,,,,,3.0,,,,,,,,,,,"02/Jul/15 14:47;djohnson;I cannot reproduce this locally on a system running the exact same code. With a collection of 2000 entities, a query with limit 750 always returns 750 entities.","06/Jul/15 18:49;djohnson;Having a hard time reproducing this problem in production, e.g. 20 queries in a a row an none failed:

$ ./curl.sh
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750
    750    2250   39750","11/Jan/16 20:56;jeffreyawest;We have made significant changes to how this works.  In 1.0, the result set will be less than the limit regularly even if there are more entities than specified in the limit.  In 2.1 the result set should include the number of entities specified in the limit if the number of entities >= limit.",,,,,,,,,,,,,,,,,,,,,,,,,
Refactor App Info Migration to make it functional,USERGRID-777,12842101,Bug,Closed,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,Fixed,safeldm,jeffreyawest,jeffreyawest,01/Jul/15 20:39,12/Jul/15 15:39,29/Oct/20 16:32,02/Jul/15 16:36,,,,,,,,,2.1.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USERGRID-586,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-603,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-07-01 20:39:36.0,,,,,,,"0|i001lr:",9223372036854775807,,,,,,,,,,,Usergrid 24,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queries without 'ql' return a Null Pointer instead of a meaningful message,USERGRID-776,12842043,Bug,Open,USERGRID,Usergrid,software,mrusso,"<h3><a name=""Usergrid""></a>Welcome to the Usergrid project</h3>
<p>Usergrid is a multi-tenant Backend-as-a-Service stack for web & mobile applications, based on RESTful APIs.</p>",http://usergrid.apache.org/,Major,,,jeffreyawest,jeffreyawest,01/Jul/15 17:10,02/Feb/16 22:09,29/Oct/20 16:05,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,"http://api.usergrid.com/vta/sandbox/stops?select * where location within 3 of 37.415449732, -121.920367767  - this will return an 500/NPE when it should be a 4xx, and preferably have a better error message.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,USERGRID-817,,,,,,,,,,,,,,,,,9223372036854775807,,,2015-07-01 17:10:45.0,,,,,,,"0|i001pr:000000010cohx",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
