Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Causality),Outward issue link (Causality),Outward issue link (Cloners),Outward issue link (Documentation),Outward issue link (Duplicate),Outward issue link (Issue split),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Related),Outward issue link (Sequence),Outward issue link (Sequence),Outward issue link (Sequence),Outward issue link (Sequence),Outward issue link (Superset),Outward issue link (Superset),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (3Scale PT Tested upstream),Custom field (3scale PT Docs),Custom field (3scale PT Product Specs),Custom field (3scale PT Product Update Ready),Custom field (3scale PT Released In Saas),Custom field (3scale PT Verified Product),Custom field (Acceptance Criteria),Custom field (Ack'd Status),Custom field (Action),Custom field (Actual Effort),Custom field (Affected EPP Document),Custom field (Affected Jars),Custom field (Affects),Custom field (Affects),Custom field (Affects),Custom field (Affects),Custom field (Affects Build),Custom field (Aha! URL),Custom field (Architect),Custom field (BZ Assignee),Custom field (BZ Build ID),Custom field (BZ Devel Whiteboard),Custom field (BZ Doc Text),Custom field (BZ Doc Type),Custom field (BZ Docs Contact),Custom field (BZ Docs Contact),Custom field (BZ Internal Whiteboard),Custom field (BZ Keywords),Custom field (BZ Partner),Custom field (BZ Product),Custom field (BZ QA Whiteboard),Custom field (BZ Status),Custom field (BZ Target Milestone),Custom field (BZ Target Milestone),Custom field (BZ Target Release),Custom field (BZ URL),Custom field (BZ URL),Custom field (BZ Version),Custom field (BZ Whiteboard),Custom field (BZ blocker),Custom field (BZ exception),Custom field (BZ needinfo),Custom field (BZ requires_doc_text),Custom field (BZ rhel-8.0.z),Custom field (Background and Context),Custom field (Baseline End),Custom field (Baseline Start),Custom field (Block/Fail - Additional Details),Custom field (Blocked),Custom field (Blocked Reason),Custom field (Blocked Tests),Custom field (Brief),Custom field (Bugzilla Bug),Custom field (Bugzilla References),Custom field (CDW Resolution),Custom field (CDW blocker),Custom field (CDW devel_ack),Custom field (CDW docs_ack),Custom field (CDW exception),Custom field (CDW pm_ack),Custom field (CDW qa_ack),Custom field (CDW release),Custom field (CEE Approval),Custom field (CRT Acceptance Critera),Custom field (CRT Completion Steps),Custom field (CRT Milestone Estimate),Custom field (Cascading Select),Custom field (Case Link),Custom field (Class of work),Custom field (Close Duplicate Candidate),Custom field (Cloud Platform),Custom field (Cluster Admin Enabled),Custom field (Cluster ID),Custom field (Code Sample),Custom field (Component Fix Version(s)),Custom field (Current Deadline),Custom field (Current Deadline Type),Custom field (Current Status),Custom field (Customer Cloud Subscription (CCS)),Custom field (Customer Impact),Custom field (Customer Name),Custom field (Customer Pain Score),Custom field (DOC Contact),Custom field (Date of First Comment),Custom field (Defect Tracker URL),Custom field (Delivery Owner),Custom field (Department),Custom field (Deployment Notes),Custom field (Designer),Custom field (Dev Approval),Custom field (Developer),Custom field (Developer Comment),Custom field (Discussed with Team),Custom field (Doc Confidence),Custom field (Doc Required),Custom field (Docs Analysis),Custom field (Docs Approval),Custom field (Docs Pull Request),Custom field (Docs QE Status),Custom field (EAP Docs SME),Custom field (EAP PT Analysis Document (AD)),Custom field (EAP PT Community Docs (CD)),Custom field (EAP PT Docs Analysis (DA)),Custom field (EAP PT Feature Implementation (FI)),Custom field (EAP PT Pre-Checked (PC)),Custom field (EAP PT Product Docs (PD)),Custom field (EAP PT Test Dev (TD)),Custom field (EAP PT Test Plan (TP)),Custom field (EAP Testing By),Custom field (Effort),Custom field (Eng. priority),Custom field (Epic Link),Custom field (Estimated Difficulty),Custom field (Evidence Score),Custom field (Experience),Custom field (External Issue URL),Custom field (External issue ID),Custom field (External issue URL),Custom field (Features),Custom field (Fix Build),Custom field (Fixed In Version),Custom field (Forum Reference),Custom field (Forum Reference),Custom field (GSS Priority),Custom field (Gerrit Link),Custom field (Git Commit),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (Git Pull Request),Custom field (GitHub Issue),Custom field (Goal),Custom field (Hardware),Custom field (Help Desk Ticket Reference),Custom field (Hold),Custom field (ITR-ITM),Custom field (Impact),Custom field (Impacts),Custom field (Impacts),Custom field (Intelligence Requested),Custom field (Internal Priority),Custom field (Internal Target Milestone),Custom field (Internal Target Release and Milestone_old),Custom field (Interop Bug ID),Custom field (Involved),Custom field (Involved),Custom field (Involved),Custom field (Involved),Custom field (Involved),Custom field (Involved),Custom field (Involved),Custom field (Latest Status Summary),Custom field (Link to Tier 1 results),Custom field (Link to Tier 4 results),Custom field (Link to documentation),Custom field (Link to install steps),Custom field (Link to performance results),Custom field (Manager),Custom field (Market),Custom field (Market Intelligence),Custom field (Microrelease version),Custom field (Migration Text),Custom field (MoSCoW),Custom field (Mojo Link),Custom field (NEEDINFO),Custom field (NEEDINFO Due Date),Custom field (Need Info Requestees),Custom field (Need Info from),Custom field (Needs Info),Custom field (Needs Product Docs),Custom field (Next Review),Custom field (Notes),Custom field (Number of attachments),Custom field (Number of comments),Custom field (OS),Custom field (Old Pool Team),Custom field (Onsite Hardware Date),Custom field (Original Estimate),Custom field (Original story points),Custom field (Owner),Custom field (PM Approval),Custom field (PM Approval - RHELPLAN),Custom field (PM Business Priority),Custom field (PM Score),Custom field (Parent Link),Custom field (Partner Requirement State),Custom field (Percent complete),Custom field (Percent confident),Custom field (Pervasiveness),Custom field (Planned End),Custom field (Planned Start),Custom field (Primary SME),Custom field (Prod build version),Custom field (Product),Custom field (Product),Custom field (Product Experience Impact Score),Custom field (Product Experience Scheduling Request),Custom field (Product Manager),Custom field (Project/s),Custom field (Public Target Launch Date),Custom field (QA Contact),Custom field (QA Contact),Custom field (QA Contacts),Custom field (QE Approval),Custom field (QE Assignee),Custom field (QE Confidence),Custom field (QE Contacts),Custom field (QE Estimate),Custom field (QE Status),Custom field (QE Test Coverage),Custom field (QE priority),Custom field (QEStatus),Custom field (Quarter),Custom field (RCA Description),Custom field (RHEL Sub Components),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Ready),Custom field (Regression Test),Custom field (Release Notes),Custom field (Release Notes Docs Status),Custom field (Release Notes Text),Custom field (Release Notes text),Custom field (Remind watchers),Custom field (Reminder Date),Custom field (Reminder Frequency),Custom field (Request Description),Custom field (Resolved Date),Custom field (Reviewer),Custom field (Risk Impact Level),Custom field (Risk Probability),Custom field (Risk mitigation/contingency),Custom field (Root cause),Custom field (SFDC Cases Counter),Custom field (SFDC Cases Links),Custom field (Security Sensitive Issue),Custom field (Service / (sub)product),Custom field (ServiceNow ID),Custom field (Severity),Custom field (Solution),Custom field (SourceForge Reference),Custom field (Sponsor),Custom field (Sponsor),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Stackoverflow ID),Custom field (Stage Links),Custom field (Start Date),Custom field (Status Summary),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Strategy Approved),Custom field (Subcomponent),Custom field (Subproject),Custom field (Support Exception Account Number),Custom field (Support Scope),Custom field (Sync Failure Message),Custom field (Target Release),Custom field (Target Upstream Version),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team Confidence),Custom field (Technical Lead),Custom field (Test Coverage),Custom field (Test Link),Custom field (Test Plan Link),Custom field (Test Work Items),Custom field (Tester),Custom field (Triage Status),Custom field (Upstream Discussion),Custom field (Upstream Jira),Custom field (Upstream Kernel Target),Custom field (Urgency),Custom field (Verified),Custom field (Whiteboard),Custom field (Willingness to Pay),Custom field (Work Source),Custom field (Work center),Custom field (Workaround),Custom field (Workaround Description),Custom field (Writer),Custom field (ZStream Target Release),Custom field ([QE] How to address?),Custom field ([QE] Why QE missed?),Custom field (cee_cir),Custom field (cee_docs_prio),Custom field (cee_docs_prio),Custom field (fedora_prioritized_bug),Custom field (fedora_requires_release_note),Custom field (insights_rule),Custom field (ip owner),Custom field (mvp),Custom field (oVirt Team),Custom field (release),Custom field (rhel-rawhide),Custom field (rpl),Custom field (zstream),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Cannot open configuration,WINDUP-2630,12933397,Bug,Closed,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,Done,jsteele,jsteele,jsteele,21/Apr/20 3:09 PM,21/Aug/20 6:52 AM,29/Oct/20 1:00 PM,23/Apr/20 1:19 PM,,,,,,,,VSCode,,,,0,,,,,,,"Cannot open configuration w/in Che 7.12.0-SNAPSHOT when right-clicking and selecting 'Open'.

theia.11bd7d00876176a81c57.js:1 Uncaught (in promise) TypeError: Cannot read property 'config' of undefined
    at context.subscriptions.push.vscode.commands.registerCommand.item (/tmp/vscode-unpacked/demo.rhamt-demo.latest.qsuxymkxyz.rhamt-vscode-extension-0.0.25-456.vsix/extension/out/src/explorer/rhamtExplorer.js:91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|z0q1k4:",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Apr/20 1:19 PM;jsteele;Works on 7/11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHAMT Explorer commands not working,WINDUP-2626,12930981,Bug,Coding In Progress,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,,jsteele,jsteele,jsteele,16/Apr/20 7:59 AM,16/Apr/20 7:59 AM,29/Oct/20 1:02 PM,,,,,,,,,VSCode,,,,0,,,,,,,"The RHAMT Explorer commands are not working as expected within the Che environment. Specifically, when you click on certain nodes the command handlers are not firing. Needs investigation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|z0pnpo:",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,VSCode,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Errors when deleting issue from rhamt explorer,WINDUP-2474,12836783,Bug,Closed,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,Done,philcattanach,jsteele,jsteele,05/Nov/19 12:58 PM,06/Jan/20 8:06 AM,29/Oct/20 1:02 PM,06/Jan/20 8:06 AM,,,,,,,,VSCode,,,,0,,,,,,,There's problems when deleting certain issues from the rhamt explorer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hxzfk9:xxi1wwr",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problems encountered when deleting issue from explorer,WINDUP-2470,12835851,Bug,Open,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,,jsteele,jsteele,jsteele,30/Oct/19 2:07 PM,30/Oct/19 2:09 PM,29/Oct/20 1:02 PM,,,,,,,,,VSCode,,,,0,,,,,,,"I'm encountering a problem when deleting an issue from the explorer. I don't see it when it's a single issue on a file, but when multiple issues exist, and I select 'delete', the issue doesn't get removed, but when I refresh the results, the items are removed (but the tree is in a strange state)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30/Oct/19 2:07 PM;jsteele;Screen Shot 2019-10-30 at 2.07.12 PM.png;https://issues.redhat.com/secure/attachment/12457026/Screen+Shot+2019-10-30+at+2.07.12+PM.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|z06jpv:",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,VSCode,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selecting Delete from the Explorer's context menu on an issue doesn't result in deletion,WINDUP-2451,12826884,Bug,Closed,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,Done,jsteele,jsteele,jsteele,06/Sep/19 4:53 PM,17/Sep/19 1:49 PM,29/Oct/20 1:02 PM,17/Sep/19 1:49 PM,,,,,,,,VSCode,,,,0,,,,,,,The delete context menu option doesn't appear to be deleting the issue.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|z08lss:",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Sprint 4 (MA),,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marking issue as complete doesn't refresh issue icon in explorer,WINDUP-2450,12826883,Bug,Closed,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,Done,jsteele,jsteele,jsteele,06/Sep/19 4:52 PM,17/Sep/19 1:49 PM,29/Oct/20 1:02 PM,17/Sep/19 1:49 PM,,,,,,,,VSCode,,,,0,,,,,,,Upon marking an Issue complete w/in the Explorer the icon does not get updated to an checkmark.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|z08lsk:",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Sprint 4 (MA),,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Problems with styling of Issue Details view,WINDUP-2449,12826882,Bug,Closed,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,Done,jsteele,jsteele,jsteele,06/Sep/19 4:50 PM,27/Sep/19 5:25 PM,29/Oct/20 1:02 PM,27/Sep/19 5:25 PM,,,,,,,,VSCode,,,,0,,,,,,,The Issue Details view styles are not being rendered as expected w/in Che,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|z08lsc:",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Sprint 4 (MA),,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ability to open report from w/in Che,WINDUP-2447,12825082,Bug,Closed,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,Done,jsteele,jsteele,jsteele,28/Aug/19 11:34 AM,04/Sep/19 8:33 AM,29/Oct/20 1:01 PM,04/Sep/19 8:33 AM,,,,,,,,,,,,0,,,,,,,Cannot open report from w/in Explorer or notification button.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|z08b50:",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Sprint 4 (MA),,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explorer commands not being executed within Che,WINDUP-2446,12824365,Bug,Closed,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,Done,jsteele,jsteele,jsteele,23/Aug/19 8:43 AM,28/Aug/19 11:29 AM,29/Oct/20 1:02 PM,28/Aug/19 11:29 AM,,,,,,,,VSCode,,,,0,,,,,,,The commands w/in the Explorer are not being executed when selected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|z0875o:",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Sprint 4 (MA),,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icons for analysis results,WINDUP-2445,12823854,Bug,Closed,WINDUP,WINDUP - Red Hat Application Migration Toolkit,software,mrizzi,"Red Hat Application Migration Toolkit is a tool to simplify Java ® application migrations. Running from the command line, the tool analyzes artifacts from Java applications and produces an HTML report highlighting areas that require changes.",https://developers.redhat.com/products/rhamt/overview/,Major,Done,jsteele,jsteele,jsteele,20/Aug/19 6:05 PM,23/Aug/19 10:19 AM,29/Oct/20 1:02 PM,23/Aug/19 10:19 AM,,,,,,,,VSCode,,,,0,,,,,,,The analysis result tree nodes w/in the RHAMT explorer are missing the icons. Need to investigate and resolve.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINDUP-2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|z0844s:",9223372036854775807,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Sprint 4 (MA),,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
